,tconst,Title,Score,NormalisedScore,Year,wordcount,totalemotion,Emotional Expression,Pos-Neg,Agressiveness,Anger,Anticipation,Awe,Contempt,Disgust,Dissaproval,Fear,Joy,Love,Negative,Optimism,Positive,Remorse,Sadness,Submission,Surprise,Trust,AFINN(-4&-5),Ero,directors
31,tt0033467, Citizen Kane  ,8.3,74.46808511,1941,5599.0,1941.0,38.89269482,71.23375486,20.38330757,18.39426438,45.57257271,12.79752705,15.38943126,16.98160243,20.76860608,23.00095996,38.63362315,32.90180989,28.16818505,30.93551308,50.96276585,10.78749335,28.14836234,16.57267778,30.6183526,51.17344511,0.075807409,4.187066733,Orson Welles
32,tt0021749, City Lights 1931 CRITERION 720p BluRay x264 DCHighDef  PublicHD  ,8.5,78.72340426,1931,283.0,116.0,56.19025688,90.45380097,47.37068966,19.74843106,100.0,8.236074271,0.0,0.0,0.0,13.43240406,57.60374924,57.29038715,10.52274845,52.16601677,66.97673499999999,0.0,6.7955888820000006,12.60484623,49.39120211,74.75583589,3.942510155,11.16416665,Charles Chaplin
33,tt0027977, Modern Times 1936 720p BluRay x264 YTS resync  ,8.5,78.72340426,1936,241.0,134.0,96.16759217,79.34541983,0.0,11.2572055,24.55902307,0.0,0.0,3.153586904,0.0,4.115594308,24.51611399,32.30109857,9.982214236,26.59524343,43.71997401,0.0,17.97333873,0.0,11.01392896,30.77450706,4.652248926,15.02031175,Charles Chaplin
34,tt0032553, The Great Dictator 1940 Criterion Collection 1080p BluRay x264 AAC   Ozlem  ,8.4,76.59574468,1940,5993.0,2368.0,52.150368,53.83789347,7.889780405,43.11845244,37.25429975,15.33134096,17.92571844,20.34383173,13.47700985,38.52798655,33.85576621,36.260738700000005,50.27360092,31.22633276,44.46715562,14.96386243,31.09070817,12.34934259,57.4864397,47.75356398,0.062274405,3.384511493,Charles Chaplin
35,tt5074352, Dangal 2016 720p BluRay x264  YTS PE en  ,8.3,74.46808511,2016,5293.0,2320.0,63.96582556,57.06170972,4.263362068999999,26.74064697,45.09090909,9.471485411,18.97424705,18.39682981,11.58386908,38.03426229,33.16579501,33.20504072,41.17683004,34.04518989,39.15168168,10.18230639,21.77377367,11.3443616,30.38175903,55.43289142,0.523200454,17.96075894,Nitesh Tiwari
36,tt0082096, Das Boot 1981 GERMAN DC 1080p BluRay REMUX AVC DTS HD MA 5 1 FGT  ,8.3,74.46808511,1981,3974.0,1921.0,76.29841476,65.53000585,2.8604893280000003,22.25829608,22.06331929,9.946742482000001,19.6416687,20.45809474,6.120576324,23.55168565,13.40752638,15.82030015,32.47252979,15.39868667,44.99514917,8.663947227000001,15.46936154,7.611463624,18.36069117,26.78681599,7.70044572,11.55798763,Wolfgang Petersen
37,tt1853728, Django Unchained  ,8.4,76.59574468,2912,7234.0,2826.0,50.92677206,37.69436029,15.55555556,34.42070294,31.99768384,17.57961783,35.04797226,35.14028719,23.77439514,46.41470959,29.67712942,31.36130918,70.4210551,25.4447048,37.96119976,16.14835311,41.42228333,19.14366596,25.09038316,48.91918316,35.71728468,30.22825478,Quentin Tarantino
38,tt0110912, Pulp Fiction 1994 1080p BluRay H264 AAC RARBG EN  ,8.9,87.23404255,1994,8041.0,2884.0,42.17377912,44.70243549,5.716019417,32.91118273,31.75639894,15.90099221,41.15723591,31.50306474,21.54904911,40.72988892,24.55174299,23.98221109,53.50523263,19.52179612,30.13394595,12.47271549,32.12995645,14.19574915,24.77425779,34.68953633,39.57287929,37.3093268,Quentin Tarantino
39,tt0105236, Reservoir Dogs (1992) (1080p BluRay x265 Silence) eng  ,8.3,74.46808511,1992,5438.0,2055.0,47.43608029999999,36.23485251,7.487104623,32.66415657,24.89449237,23.71027513,39.78194586,32.28475002,19.61647903,50.8877661,17.08788061,17.95093108,55.82962392,13.33910901,15.97377948,16.45925571,42.44066434,39.84480831,19.57590453,33.49209615,43.74160053,47.03404469,Quentin Tarantino
40,tt0036775, Double Indemnity English  ,8.2,72.34042553,1944,4308.0,1580.0,44.38919841,54.85155242,15.30253165,15.93449511,34.09436133,13.30282376,16.9155584,13.37280523,17.00922549,24.55971345,24.08000227,25.80805402,29.33138432,17.79066222,19.22053301,10.19402366,30.16692137,9.2541909,20.21215024,32.10749585,0.13749428800000002,3.453426827,Billy Wilder
