,tconst,Title,Score,NormalisedScore,Year,wordcount,totalemotion,Emotional Expression,Pos-Neg,Agressiveness,Anger,Anticipation,Awe,Contempt,Disgust,Dissaproval,Fear,Joy,Love,Negative,Optimism,Positive,Remorse,Sadness,Submission,Surprise,Trust,AFINN(-4&-5),Ero
64,tt0047396, Rear Window 1954 by Hitchcock 720p x264 AAC MULTISUB mkv Zen Bud  ,8.4,76.59574468,1954,4530,1704,46.96076422,56.35039337,10.31924883,16.97303166,34.38326931,17.94149512,17.06855054,14.38361351,26.6143471,24.64641063,19.55364144,18.87722922,30.68311589,13.5732186,24.02584176,11.02757254,22.69479569,6.006534704,26.48076015,27.56183259,0.124383409,1.652485432
65,tt0180093, Requiem For A Dream Directors Cut DVDRip DivX QiX  ,8.3,74.46808511,2000,3521,1194,36.82414258,69.46634693,11.96566164,23.74656883,57.11892797,12.00231929,34.23446346,24.06656941,14.0675127,15.6589279,51.98401389,47.70184117,32.04943637,48.12352989,52.43499859,10.79166323,19.97041907,19.59346281,52.05584238,54.81350969,25.72908401,41.6384418
66,tt0105236, Reservoir Dogs (1992) (1080p BluRay x265 Silence) eng  ,8.3,74.46808511,1992,5438,2055,47.4360803,36.23485251,7.487104623,32.66415657,24.89449237,23.71027513,39.78194586,32.28475002,19.61647903,50.8877661,17.08788061,17.95093108,55.82962392,13.33910901,15.97377948,16.45925571,42.44066434,39.84480831,19.57590453,33.49209615,43.74160053,47.03404469
67,tt0120815, Saving Private Ryan (1998) BR 1080p 23 976 fps 2 h 48 min 21 sec Eng   by FarangSiam  ,8.5,78.72340426,1998,6049,2372,51.33050301,70.97487096,4.633220911,29.82995653,15.64617507,14.90271112,29.82581595,20.66583256,14.87052334,40.42379618,19.78408701,21.77693245,35.49690078,16.26049977,59.99238925,13.806914,31.20991304,27.12273825,14.31475571,69.96434997,18.16108432,29.55617276
68,tt0086250, Scarface 1983 1080p YAS Eng  ,8.2,72.34042553,1983,7636,2590,36.84455504,59.5113226,26.73243243,24.9735724,37.70726571,9.590733591,26.70837202,22.02640428,12.32183758,35.80417395,32.39477958,34.75523526,37.21416713,29.55473578,38.95830293,13.05937085,33.30467684,17.50078264,29.69029585,48.29445722,40.32024706,33.04813315
69,tt0108052, Schindlers List 1993 iNTERNAL BDRip x264 TABUALRiA  ,8.9,87.23404255,1993,5296,1993,47.00530753,65.37678582,19.30005018,20.06897008,39.08862838,17.25732371,13.41022693,15.05430296,23.5978467,30.72524553,39.63306811,45.71228132,33.34095625,38.6144519,45.81634231,11.04480436,28.36844226,16.8739236,38.27679987,56.31032568,4.004798003,6.172864481
70,tt0114369, Se7en  ,8.6,80.85106383,1995,3782,1644,62.97431245,49.76210343,8.690389294,35.84862296,38.28798938,19.75856261,40.16446457,35.21505376,28.60736525,39.59147763,25.51247671,24.81473991,46.77630517,18.33726675,31.63278317,21.22721471,32.43920833,17.78786085,25.36466821,27.97644478,27.90615317,33.27377909
71,tt0045152, Singing in the Rain  ,8.2,72.34042553,1952,4279,1784,58.11244194,85.36561001,4.928251121,12.79327133,56.93436608,6.961883408,14.10001703,11.60675539,6.590598161,9.785183932,63.00483457,47.16088885,19.26349148,44.04931945,68.04300284,5.717948247,26.95380433,4.917585747,40.75462483,41.99623731,0.139307433,8.389825007
72,tt0208092, Snatch 2000 1080p BDRip x264 DD DTS    MaLLIeHbKa eng  ,8.3,74.46808511,2000,4732,1600,36.55471545,39.381345,7.555625,39.4378754,30.03636364,13.13653846,24.56487342,31.42943548,20.99576271,48.37071467,24.68233376,28.09567354,56.21931818,20.48545751,22.86980956,19.79764344,35.56466333,9.138513514,20.55187596,33.92513675,34.94276433,35.71705705
73,tt4633694, Spider Man Into the Spider Verse 2018 Director Commentary 1080p BluRay REMUX AVC Atmos EPSiLON  ,8.4,76.59574468,2018,8951,3284,44.4239069,69.36077892,2.342570037,13.44219714,28.84951833,19.78262906,9.574615705,9.650897804,36.8256983,16.04434167,26.29408212,21.05541709,17.8799675,14.14759497,33.74647533,4.741069467,20.87003661,6.233334431,23.81820621,30.05909024,0.127481609,6.885634931
74,tt0245429, Spirited Away 2001 1080p BluRay X264 AMIABLE en  ,8.5,78.72340426,2001,2734,1108,54.92437111,62.75750315,3.967509025,13.13944458,28.17853627,5.173562899,19.86473518,27.8415046,4.547818638,24.07699276,21.60849536,24.6205576,34.78490141,16.06709352,42.38134819,12.11383678,28.34560557,10.55712752,21.30865984,30.76078264,0.291516459,11.00306272
75,tt0120915, Star Wars Episode I A New Hope (1977) (English) HD (480x320)  ,8.6,80.85106383,1977,4262,1502,40.46518281,68.16010993,10.97536618,28.18293433,50.19489166,25.44299908,30.35446409,24.47704136,23.48394231,43.01311084,36.02936355,32.99113003,44.5684869,30.76804241,66.10548288,12.86808845,37.59253861,3.893907223,46.92659565,56.16618559,0.140381784,5.774237501
76,tt0080684, Star Wars Episode V The Empire Strikes Back SDH Bluray New By Ryan  ,8.7,82.9787234,1980,4961,1960,52.13777964,56.58027232,3.925,37.75435997,31.19851577,33.63343799,25.26672694,28.24391047,17.13939813,52.90178795,30.52963086,21.15520918,50.45514717,16.68920311,50.27137831,12.60036802,27.61891896,11.93601765,41.4688993,47.82380986,0.334598169,2.243998985
77,tt0086190, Star Wars Episode VI Return of the Jedi SDH Bluray By Ryan  ,8.3,74.46808511,1983,4176,1683,54.30886281,46.80400849,10.44800951,54.23739533,31.00631988,70.95845331,51.84458133,45.19579093,29.94048159,67.32648996,39.39715182,27.27349496,65.60419924,23.46222764,50.17519035,25.52039196,41.91464918,6.950265774,82.8005495,42.76228783,0.145950784,1.965112645
78,tt0043014, Sunset blvd 1950 720p bluray x264 Clone eng(1)  ,8.4,76.59574468,1950,5396,2245,57.87417012,65.26127021,8.811581292,16.71455402,37.74934197,10.6390269,15.40638832,14.68208923,11.2226794,16.82463582,31.31836965,29.27145321,26.58536852,25.36451032,36.77386683,9.565884114,21.69647846,6.512971769,23.9977414,36.1510263,0.083551426,10.81354998
79,tt0075314, Taxi Driver  ,8.2,72.34042553,1976,3928,1440,44.34522217,47.23697752,14.50069444,26.68767564,30.21212121,7.961538462,29.4778481,23.18324373,9.331450094,39.31943399,25.3010407,29.48960971,48.59244472,21.38120293,28.87421249,14.91347905,34.38751602,23.35397898,23.2115305,30.35209986,22.46286064,26.50470062
80,tt0103064, Terminator 2 Judgement Day 1991 THEATRICAL 2160p BluRay x265  ,8.5,78.72340426,1991,2835,1076,47.88617593,36.61292145,5.106877323,32.44973573,31.46333221,17.75807835,35.79713896,38.88056122,21.8543255,40.48721348,14.60696626,16.52080734,57.87446453,14.48829208,19.40739747,12.47409958,34.03852903,17.66552798,17.40505253,25.35466154,22.63601129,29.48441658
81,tt0468569, The Dark Knight (2008) (2160p x265 10bit HDR Tigole) eng  ,9,89.36170213,2008,6128,2485,54.99240079,62.37017545,19.01690141,28.65656784,38.29449424,14.60950317,18.66337264,13.94431103,18.24983801,49.33594178,37.06575253,35.47802442,40.66544723,26.03715665,49.26207877,11.45067124,35.22892765,32.95013323,37.23224456,64.15419478,3.067257775,9.07272859
82,tt1345836, the Dark Knight Rises  ,8.3,74.46808511,2012,5784,2450,59.93520711,46.57112096,12.11142857,37.07719175,28.5729128,27.2967033,41.38930509,29.83936801,45.93358699,53.640668,20.85989573,22.15164674,48.49548212,14.39804476,27.39598382,18.18835731,36.65652752,11.33921677,25.83664407,45.06876666,3.456677068,8.515673779
83,tt0068646, The Godfather 1972 Coppola Restoration (1080p x265 10bit Tigole)  ,9.1,91.4893617,1972,4756,1834,49.54869136,62.98169196,14.38167939,24.23684169,43.66610489,15.62788357,23.14509338,20.50691244,23.81198824,31.57977324,46.03388744,48.01845571,41.36738751,30.97684724,51.41875931,16.97892272,28.41609288,18.33682101,34.29100741,60.69033378,3.989606491,10.23396147
84,tt0032553, The Great Dictator 1940 Criterion Collection 1080p BluRay x264 AAC   Ozlem  ,8.4,76.59574468,1940,5993,2368,52.150368,53.83789347,7.889780405,43.11845244,37.25429975,15.33134096,17.92571844,20.34383173,13.47700985,38.52798655,33.85576621,36.2607387,50.27360092,31.22633276,44.46715562,14.96386243,31.09070817,12.34934259,57.4864397,47.75356398,0.062274405,3.384511493
85,tt0110357, The Lion King (1994)  ,8.5,78.72340426,1994,3450,1208,39.84365241,65.41880916,9.097682119,25.27358662,40.5538832,15.02674478,43.59858328,33.23274941,20.85671793,43.93851373,31.50114723,27.29404172,45.2224116,19.81908619,61.39273875,30.66645858,42.84387727,7.262394845,23.46772841,30.68009486,0.20402853,5.029320727
86,tt0120737, the Lord of Rings Fellowship of the Ring  ,8.8,85.10638298,2001,5177,2217,61.20957758,57.18887359,9.418583672,23.27650818,35.57879198,11.20433018,32.62020178,26.49468186,18.94069708,42.12206727,27.07480932,25.58456962,41.26148291,21.01353115,39.52021787,15.25654961,36.74141242,17.14759414,19.72378079,40.61562308,0.092586813,5.1505191
87,tt0167260, the Lord of Rings Return of the King  ,8.9,87.23404255,2003,4565,2015,64.81044968,52.87795932,24.54342432,33.17922701,37.85517708,25.12922313,38.62110123,37.53942208,33.34314674,52.49141886,29.05612983,25.20057532,55.50171015,24.61892624,49.33474315,20.2497661,41.89365574,17.41533096,31.98305076,45.80193139,0.122432748,5.163237504
88,tt0167261, the Lord of Rings the Two Towers  ,8.7,82.9787234,2002,5292,2325,64.24697741,54.39541564,16.54408602,30.16635431,38.79022483,12.73846154,40.90975909,33.07943115,18.783306,48.74284196,29.24370983,29.14932887,50.87526353,23.27543159,46.38347559,17.78071567,38.30437877,7.546643418,31.79106126,42.32993289,0.087748961,3.12935221
89,tt0253474, the Pianist  ,8.5,78.72340426,2002,2760,1093,52.39299749,51.28790096,18.09881061,26.50918212,36.50835898,12.23731438,22.29492629,29.38346664,23.0511576,36.60614443,32.3992143,38.96841708,44.73628249,28.60125521,32.070638,18.66572676,33.05662874,22.74177196,26.52531449,42.26297805,6.551302195,12.77259645
90,tt0482571, The Prestige (2006) (2160p x265 10bit HDR Tigole) eng  ,8.5,78.72340426,2006,4905,1994,55.26825627,59.86058873,8.818455366,13.21653975,32.07987599,6.228686058,11.03817782,12.29171385,4.211787906,25.79244481,29.04786492,21.74321062,38.58622551,23.01935988,41.4562703,5.92350823,16.238254,8.799371086,51.34804179,53.9696193,0.574873587,51.50195554
91,tt0082971, the Raiders of the Lost Ark  ,8.4,76.59574468,1981,2559,935,44.01098631,57.384197,7.052406417,18.39893679,42.28488089,9.196215549,23.54024233,26.21355874,7.185715581,32.85626723,33.28527775,41.71450453,33.79602938,24.14348381,30.18327606,16.65205576,23.93639929,23.45714699,16.6690648,52.7509757,3.022645706,4.66503245
92,tt0111161, the Shawshank Redemption  ,9.2,93.61702128,1994,5754,2517,63.72508832,51.34828323,10.47914184,34.55893787,29.555387,14.42376455,40.91217694,30.38819896,13.34653172,32.69210866,22.32482503,21.99074228,42.64193655,18.23405341,29.46260958,16.21107616,29.17207996,30.7884762,24.17406665,41.55117701,25.90907606,24.45700341
93,tt0102926, The Silence of the Lambs (1991)   Web DL 4K 23 976 fps   1 h 58 min 35 sec   Eng  ,8.6,80.85106383,1991,4307,1606,46.0640577,68.82175534,12.31755915,24.12994527,35.90399638,25.5800364,29.85718114,22.62885148,31.37598413,32.24470212,33.63533763,33.36491274,33.36298769,22.76813959,52.83897441,14.70918482,28.02791535,21.85049308,30.19112884,65.42031393,8.700593474,11.55607976
